Latitude,Longitude,launches
-2.7955996,-43.742897078125,3
-2.995724,40.194884,9
-30.5343665,135.6301212,6
-39.261508,177.864944,13
13.72376835,80.16460301880002,76
22.02595125,-159.78475899847962,1
26.172826,-98.1626132,12
27.947703,-15.384258,2
28.24576155,102.02793799844264,103
28.488798,-80.572293,658
28.5225289,-80.68036706230734,176
30.4034117,130.97126149653548,85
30.9,-3.033333,4
31.25411165,131.07879609473065,41
31.884586,34.680158,19
32.2177481,-96.0370436,1
32.9897111,-106.97201467147372,4
34.114070100000006,-119.11793024844323,6
34.438131150000004,127.52550018104824,3
34.73835455,-120.58262457020024,442
34.900814,-117.94395332567805,5
35.221533550000004,53.897056783100155,13
36.7014631,-118.7559974,1
37.855614700000004,-75.49639969025829,31
38.84978335,111.60532243338425,53
39.6663877,124.69792434062654,3
40.8559648,129.66551528034012,2
40.964989,100.2838214916303,104
45.917893199999995,63.40837213703634,701
48.575634,45.766895,112
5.21237515,-52.77388326708221,299
51.881337849999994,128.33086879328096,5
52.0269262,54.7276647,10
57.4429518,-152.36528883940028,3
6.9518742,170.9985095,9
62.927843,40.574814,1263
69.5,34.2,3
None,None,43
