Datum,count
Fri 10:40 UTC,1
Fri 10:42 UTC,1
Fri 10:46 UTC,1
Fri 10:50 UTC,1
Fri 10:53 UTC,1
Fri 10:54 UTC,1
Fri 10:58 UTC,1
Fri 10:59 UTC,2
Fri 11:00 UTC,9
Fri 11:03 UTC,1
Fri 11:04 UTC,2
Fri 11:06 UTC,1
Fri 11:16 UTC,2
Fri 11:17 UTC,2
Fri 11:18 UTC,1
Fri 11:19 UTC,1
Fri 11:20 UTC,3
Fri 11:22 UTC,1
Fri 11:23 UTC,1
Fri 11:27 UTC,1
Fri 11:28 UTC,1
Fri 11:29 UTC,1
Fri 11:30 UTC,1
Fri 11:31 UTC,1
Fri 11:34 UTC,1
Fri 11:36 UTC,1
Fri 11:37 UTC,1
Fri 11:40 UTC,1
Fri 11:43 UTC,1
Fri 11:44 UTC,2
Fri 11:45 UTC,2
Fri 11:50 UTC,1
Fri 11:52 UTC,1
Fri 11:53 UTC,2
Fri 11:58 UTC,3
Fri 11:59 UTC,1
Fri 12:00 UTC,8
Fri 12:02 UTC,1
Fri 12:03 UTC,1
Fri 12:05 UTC,3
Fri 12:07 UTC,1
Fri 12:12 UTC,1
Fri 12:13 UTC,1
Fri 12:14 UTC,1
Fri 12:15 UTC,1
Fri 12:19 UTC,1
Fri 12:20 UTC,1
Fri 12:27 UTC,1
Fri 12:28 UTC,1
Fri 12:29 UTC,1
Fri 12:30 UTC,2
Fri 12:33 UTC,1
Fri 12:36 UTC,1
Fri 12:39 UTC,2
Fri 12:40 UTC,1
Fri 12:45 UTC,3
Fri 12:54 UTC,1
Fri 12:56 UTC,1
Fri 13:00 UTC,9
Fri 13:01 UTC,2
Fri 13:05 UTC,2
Fri 13:08 UTC,1
Fri 13:12 UTC,1
Fri 13:13 UTC,1
Fri 13:15 UTC,1
Fri 13:19 UTC,2
Fri 13:20 UTC,1
Fri 13:26 UTC,1
Fri 13:30 UTC,4
Fri 13:35 UTC,1
Fri 13:37 UTC,1
Fri 13:38 UTC,2
Fri 13:39 UTC,1
Fri 13:45 UTC,1
